390,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
,A,,USB0_DP,USB1_VBUS,USB1_DN,MMC0_CLK,MMC0_RST_N,MMC0_D5,CLK24M_XOUT,TEST_EN,INT2,INT3,CLK32K768_XOUT,VSS,"DQ19
DQB3","DQS2N
DQSB0N",VSS,"DQ20
DQB4","DQS0N
DQSB1N",VSS,NC,A
,B,ADC_2,USB0_DN,USB1_ID,USB1_DP,MMC0_D2,MMC0_STROBE,MMC0_D6,CLK24M_XIN,RSTN,INT1,OUT0,CLK32K768_XIN,VSS,"DQ18
DQB2","DQS2P
DQSB0P","DQ21
DQB5","DQ23
DQB7","DQS0P
DQSB1P","DQ6
DQB9",VSS,B
,C,ADC_4,ADC_0,USB0_VBUS,USB1_TXRTUNE,MMC0_D1,MMC0_D3,MMC0_D7,GPIO0,GPIO1,INT0,OUT1,INT4,VSS,"DQ16
DQB0","DM2
DMIB0","DQ22
DQB6","DQ0
DQB15","DQ3
DQB12","DQ7
DQB8",NC,C
,D,ADC_5,ADC_1,USB0_ID,USB0_TXRTUNE,MMC0_D0,MMC0_CMD,MMC0_D4,ANA_TS_VTEST,VSS,VSS,VSS,INT5,VSS,"DQ17
DQB1",VSS,"DQ1
DQB14","DQ2
DQB13","DM0
DMIB1",NC,NC,D
,E,MICPL,MICNL,MIC_BIAS,VSS,,VSS,VSS,VSS,AVDD3P3_USB,VDD3P3_SD,VDD1P8,VSS,VSS,VSS,VSS,VSS,"DQ5
DQB10","DQ4
DQB11",VSS,"NC
CAB0",E
,F,MICPR,MICNR,CODEC_VCM,VSS,,VSS,AVDD1P8_CODEC,AVDD1P8_ADC,AVDD1P8_USB,VSS,AVSS,VDD0P8_CORE,VDD1P8,AVDD1P8_LDO,AVDD1P8_RTC,VSS,"NC
CAB4",NC,"NC
CAB5","NC
CLKBN",F
,G,HPOUTL,HPOUTR,ADC_3,GPIO48,GPIO49,VSS,AVSS,AVSS,VDD0P8_CORE,VDD0P8_CORE,AVDD0P8_PLL,VDD0P8_CPU,VSS,VSS,VSS,VSS,NC,"NC
CAB2","NC
CAB1","NC
CLKBP",G
,H,GPIO42,GPIO44,GPIO45,GPIO46,GPIO47,"VDDIO
BANK3",VSS,VDD0P8_KPU,VDD0P8_KPU,VDD0P8_KPU,VSS,VDD0P8_CPU,VSS,VDDIO_DDR,VSS,VSS,"NC
CAB3",NC,NC,VSS,H
,J,GPIO41,GPIO40,GPIO39,GPIO38,GPIO14,GPIO43,VSS,VDD0P8_KPU,VDD0P8_KPU,VDD0P8_KPU,VSS,VDD0P8_CPU,VSS,VDDIO_DDR,VSS,DDR_RST,"NC
CKEB1","NC
CKEB0","NC
CSB1","NC
CSB0",J
,K,GPIO15,GPIO16,VSS,GPIO17,GPIO18,VSS,"VDDIO
BANK1",VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VSS,VAA_DDR,VSS,DDR_VREF,VSS,DDR_ZN,"CA0
NC",K
,L,GPIO19,GPIO20,GPIO21,GPIO22,GPIO23,GPIO24,VSS,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,"CA5
CAA1","CA3
NC","ODT
NC",VSS,"CA1
NC",L
,M,GPIO25,GPIO54,GPIO52,GPIO51,GPIO50,VSS,"VDDIO
BANK4",VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,VSS,NC,"CA8
CAA4","CA4
CAA0","CA2
NA",M
,N,GPIO57,GPIO55,VSS,GPIO53,VSS,AVDD0P8_MIPI,AVDD1P8_MIPI,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,VSS,"CKE0
CKEA0",NC,"CA6
CAA2","CA7
CAA3",N
,P,GPIO58,GPIO59,GPIO56,GPIO61,GPIO60,VSS,VSS,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VSS,"DQ14
DQA14","DM1
DMIA1","CKE1
CKEA1","CA9
CAA5",VSS,P
,R,MIPI_RX2_CLK_P,MIPI_RX2_CLK_N,VSS,,,VSS,VSS,AVDD0P8_MIPI,AVDD1P8_MIPI,VSS,"VDDIO
BANK2",VSS,"VDDIO
BANK0",VSS,"VDDIO
BANK5",VSS,"DQ8
DQA8","DQ10
DQA10","CLKP
CLKAP","CLKN
CLKAN",R
,T,MIPI_RX2_D4_N,MIPI_RX2_D4_P,VSS,,,,VSS,VSS,VSS,GPIO36,GPIO33,GPIO13,GPIO9,GPIO62,VSS,"DQ30
DQA1","DQ15
DQA15","DQ9
DQA9","CS1
CSA1","CS0
CSA0",T
,U,MIPI_RX2_D5_P,MIPI_RX2_D5_N,VSS,,,MIPI_ATB,MIPI_REXT,VSS,GPIO34,GPIO32,GPIO26,GPIO8,GPIO10,GPIO5,GPIO63,"DQ31
DQA0","DQ24
DQA7","DQ13
DQA13",VSS,"DQ11
DQA11",U
,V,MIPI_RX0_D1_N,MIPI_RX0_D1_P,VSS,VSS,VSS,VSS,VSS,VSS,GPIO31,GPIO30,GPIO29,GPIO28,GPIO12,GPIO6,GPIO3,"DQ29
DQA2","DM3
DMIA0","DQ26
DQA5","DQS1N
DQSA1N","DQS1P
DQSA1P",V
,W,VSS,MIPI_RX0_CLK_P,MIPI_RX0_D0_N,MIPI_RX1_D2_P,MIPI_RX1_CLK_N,MIPI_RX1_D3_N,MIPI_TX1_D3_N,MIPI_TX1_D2_P,MIPI_TX0_CLK_N,MIPI_TX0_D0_P,MIPI_TX0_D1_N,GPIO35,GPIO27,GPIO7,GPIO2,VSS,"DQS3P
DQSA0P","DQ27
DQA4","DQ12
DQA12",VSS,W
,Y,NC,MIPI_RX0_CLK_N,MIPI_RX0_D0_P,MIPI_RX1_D2_N,MIPI_RX1_CLK_P,MIPI_RX1_D3_P,MIPI_TX1_D3_P,MIPI_TX1_D2_N,MIPI_TX0_CLK_P,MIPI_TX0_D0_N,MIPI_TX0_D1_P,GPIO37,VSS,GPIO11,GPIO4,"DQ28
DQA3","DQS3N
DQSA0N","DQ25
DQA6",VSS,NC,Y
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total package Balls:390,,,,,,,,,,,,,,,,
,,,,,,Ball pitch:0.65mm,,,,,,,,,,,,,,,,
,,,,,,Ball diameter:0.30mm,,,,,,,,,,,,,,,,
,,,,,,Package size:13.0x13.0mm^2,,,,,,,,,,,,,,,,
,,,,,,Note: TOP view(Die face down),,,,,,,,,,,,,,,,
,,,,,,DDR管脚描述为LPDDR3和LPDDR4,,,,,,,,,,,,,,,,
